Bjarnii Ros
Alberto Contador
Magnus Cort
Ole Mose
Alex Rasmussen
Jesper Moerkoev
Nicki Soerensen
Fabio Aru
Chris Froom
Andy Schleck
Frank Schleck
Tom Boonen
Matti Brachel
Michael Valgren
Jens Voigt
Jesper Greve
Emil Minke
Jonas Pedersen
Kenneth Andersen
Kenneth Lodahl
Jonathan Yde
Poul Munk
Robert Hunter
Mark Cavendish
Michael Moerkoev
Nario Quintana
Dario Quintana
Lance Armstrong
Jan Ullrich
Vincenzo Nibali 
Jakob Fuglsang
Peter Sagan
Alexander Kristoff
Lieuwe Westra
Alexey Lutsenko
Borut Bozic
Andrea Guardini
Andriy Grivko
Simone Andreetta
Ramon Sinkeldam
Nacer Bouhanni
Philippe Gilbert
Bradley Wiggins
Alain Gallopin
Adrien Vuillier
Alexandre Binet
Alexandre Geniez
Amael Moinard
Arnaud Demare
Arnold Jeannesson
Bryan Coquard
Cyril Gautier
Eugenie Duval
Andre Steensen
Asbjørn Andersen
Brian Vandborg
Christopher Jensen
Daniel Foder
Emil Vinjebo
Jesper Hansen
Kasper Klostergaard
Lars Bak
Mads Christensen
Marc Hester
Marc Garby
Patrick Olesen
Rasmus Guldhammer
Adam Blythe 
Alex Dowsett
Ben Swift
Geriant Thomas
Ian Stannard
Jonathan McEvoy
Luke Rowe
Peter Kennaugh
Sean Yates
Simon Yates
Stephen Cummings
Benjamin Noval
Benat Intxausti
Daniel Moreno
Daniel Navarro
Enrique Sanz
Gorka Izaguirre
Igor Anton
Jesus Hernandez
Joaquim Redriguez
Jon Garate
Juan Lobato
Luis L. Sanchez
Marc Soler
Markel Irizar
Mikel Landa
Mikel Nieve
Rafael Valls
Ruben Plaza
Samuel Sanchez
Xabier Zandio
Adriano Malori
Alessandro Vanotti
